parameter,mean,hpd95_low,hpd95_high
phi_b[1],-0.555076756631929,-2.24805,1.0579
phi_b[2],0.220312033170732,-2.014,1.97532
phi_b[3],0.272288765277162,-1.62014,2.09438
phi_d[1],-0.436872885802661,-1.016,0.0862916
phi_d[2],0.278173225986696,-1.71424,2.14971
phi_d[3],0.264304011654102,-1.5257,2.12856
phi_e[1],-0.340896924157428,-1.44929,0.641876
phi_e[2],0.262632063059867,-1.51696,2.03473
phi_e[3],0.286930638348115,-1.51865,2.1344
phi_w[1],-0.104480242529933,-0.361491,0.166463
phi_w[2],0.0661359122217294,-1.54633,1.97518
phi_w[3],0.0746514030820399,-1.62509,2.06811
r_e[1],0.0488853091463415,0.00026146,0.108204
r_e[2],0.0377787101751663,0.000241595,0.0922682
r_e[3],0.0334730638137472,3.266e-05,0.0987695
r_e[4],0.0351606903325942,0.00018983,0.0928952
r_e[5],0.0666954110465632,0.000183402,0.16699
r_e[6],0.0365747030465632,0.000349042,0.0921254
r_e[7],0.0376160993015521,0.000241147,0.092301
rho_b,0.576039384339244,5.419999e-06,1.862368
rho_d,0.493044071725055,0.004174165,1.6511
rho_e,0.544135416815299,0.0008177407,1.821803
rho_w,0.893389964833703,0.02909616,2.550946
sigma_b[1],-0.457849302594235,-2.34583,1.26818
sigma_b[2],-0.359264150150776,-2.08649,1.49423
sigma_b[3],-0.406691098982262,-2.34117,1.34472
sigma_d[1],-0.484121201252772,-2.39678,1.16673
sigma_d[2],-0.45573993172949,-2.04368,1.32964
sigma_d[3],-0.524789966795787,-2.38481,1.15167
sigma_e[1],-0.475073037081818,-2.14825,1.32147
sigma_e[2],-0.574532150133038,-2.33196,1.424
sigma_e[3],-0.459657586341463,-1.89556,1.33076
sigma_w[1],-0.00369503512195121,-1.68452,1.56629
sigma_w[2],-0.0676602781374723,-1.67165,1.53537
sigma_w[3],-0.215882332616408,-1.87828,1.57712
